Rank,Team,Organization,Team Members,Top Score
1st,spring,Undisclosed,Undisclosed,120.296
2nd,MIT HANLAB,Undisclosed,Undisclosed,38.58
3rd,NYCity,Undisclosed,Undisclosed,27.036
4th,IronGroup,Undisclosed,Undisclosed,25.546
5th,HZ_Turbo,Undisclosed,Undisclosed,16.468
6th,Hummer,Undisclosed,Undisclosed,15.95
7th,Novauto,Undisclosed,Undisclosed,14.638
8th,BuzzerBeat,Undisclosed,Undisclosed,14.37
9th,flash,Undisclosed,Undisclosed,1.502
